학생,답안,거듭제곱의 곱셈,거듭제곱의 나눗셈2,단위의 이해,거듭제곱의 나눗셈1,수의 나눗셈,정오답,등호 오류,식 오류,단위 혼동,나눗셈 괄호 오류
33,,0,0,0,0,0,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0
35,,,,,,,,,,,
36,1MB = \left (2^10 \right )^2 = 4^20KB,0,0,0,0,0,0,0,0,0,0
37,1MB = 2^10 \times 2^10B \\ 1MB = 2^20B \\ 36MB = 36 \times 2^20B \\ 36MB = 3^3 \times 2^22B \\ 36MB = 2^2 \times 3^3 \times 2^20B \\ 3^3 \times 2^22B \div 3^2 \times 2^20B = {3^3 \times 2^22B }/{ 3^2 \times 2^20B } = 3 \times 2^2,1,1,1,0,0,0,0,0,0,1
38,128초,0,0,0,0,0,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0
40,,0,0,0,0,0,0,0,0,0,0
41,1KB = 2^10B \\ 1MB = 2^10KB = 2^10 \times 2^10B = 2^20B \\ 1MB = 2^20B \\ 36MB = 3^2 \times 2^22B \\ 1초에 9 \times 2^20B를 다운 받으므로 36MB는 9 \times 2^20B에 4를 곱한 값이므로  4초,1,1,1,0,0,1,0,0,0,0
42,1MB = 2^10KB \\ 1MB = 2^20B \\ 36MB = 2^22 \times 9B \\ 2^10KB = 2^20B \\ 2^22 \times 9B \div 20^20 \times 9B = 4  정답: 4초,1,1,1,0,0,1,0,0,0,0
43,1KB = 2^10B \\ 1MB = 2^10KB \\ 1MB = 2^20B \\ 36 = 2^2 \times 3^2 \\ 36MB = ,0,0,1,0,0,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0
45,36MB = 2^3 \times 3MB이다. 1MB가 2^10KB니까.  2^3 \times 3 \times 2^10 = 2^13 \times 3KB이다. 한번 더 B 형식으로 나타내면 2^13 \times 2^10 \times 3 = 2^13 \times 3B이다. 컴퓨터 용량은 2^13 \times 3B이다. 1초당 내려받는 자료의 용량이 9 \times 2^20 = 3^2 \times 2^20B이기 때문에 { 2^20 \times 3^2 }/{ 2^13 \times 3 } = 2^7 \times 3초가 걸린다,0,1,1,0,0,0,0,0,0,0
46,B \\ KB \\ MB \\ 2^100 = 2^10 = 1 \\ 2^10 = 1 \\ 2^120 \times 3^2 = 2^30 \times 3^2 = 2^20 \times 3^2 \\ ( 2^120 \times 3^2 ) \times 1/{ 2^20 \times 3^2 } \\ 1초 9 \times 2^20B \\ 2^100 \\ 2^100초,0,1,1,0,0,0,0,0,0,0
47,360초,0,0,0,0,0,0,0,0,0,0
48,,0,0,0,0,0,0,0,0,0,0
49,36 \times 2^10KB \\ 36 \times 2^10 \times 2^10B \\ 2^2 \times 3^2 \times 2^10 \times 2^10B \\ 2^12 \times 3^2 \times 2^10B \times 9 \times 2^20 = 2^12 \times 3^4 \times 2^30B  답: 2^12 \times 3^4 \times 2^30B,1,0,1,0,0,0,0,0,0,0
50,2^10 \times 2^10 \times 36 = 2^20 \times 3^2 \times 3^2 = 2^22 \times 3^2 \\ { 2^22 \times 3^2 }/{ 9 \times 2^20 } = { 2^22 \times 3^2 }/{ 3^2 \times 2^20 } = 2^2 = 4초,1,1,1,0,0,1,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0
52,9 \times 2^20B = 9 \times 2MB = 18MB \\ 18MB \times \box = 36MB \\ \box = 2  답: 2초,0,0,0,0,1,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0
54,2^10 \times 2^10 = 2^20 \\ 2^20 \times 2^2 \times 3^2 = 2^22 \times 3^2 \\ 2^2초,1,1,1,0,0,1,0,0,0,0
55,1MB = 2^10KB \\ 36MB = 2^10 \times 36KB \\ 1KB = 2^10B \\ 2^10 \times 36KB = 2^10 \times 2^10 \times 36B \\ 3^2 \times 2^20 \times n = 2^20 \times 2^2 \times 3^2 = 2^20 \times 3^2 \times n = 2^22 \times 3^2 \\ n = 2^2 \\ 4,1,1,1,0,0,1,0,0,0,0
56,4x = 3 \\ 2x = 3x \\ 6x = 3x + 3 \\ 3x = 3 \\ x = 1 \\ 1KB = 2^10B \\ 1MB = 2^10KB  답: 360초,0,0,0,0,0,0,0,0,0,0
57,,0,0,0,0,0,0,0,0,0,0
58,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB = 2^2 \times 3^2 MB \\ 1MB = 2^20B \\ 36MB = 2^20 \times 2^2 \times 3^2B = 2^22 \times 3^2 B \\ 1초에 9 \times 2^20B \\ { 2^22 \times 3^2 } \div { 9 \times 2^20 } = { 2^22 \times 3^2 }/{ 9 \times 2^20 } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
59,2^10 \times 2^10 \times 36 = 2^24 \times 3^2 \\ 9 \times 2^20 \times \box = 2^24 \times 3^2  \box = 2^4 = 16  답 = 16초,0,1,1,0,0,0,0,0,0,0
60,2^12 \times 3^2 \times 2^10 = 2^22 \times 3^2 \\ 2^10 \times 30 = 2^2 \times 2^10 \times 3^2 = 2^12 \times 3^2 \\ 2초,1,0,1,0,0,0,0,0,0,0
61,1KB = 2^10B \\ 2^20B = 2KB \\ 3^2 \times 2KB초,0,0,0,0,0,0,0,0,0,0
62,36초,0,0,0,0,0,0,0,0,0,0
63,,0,0,0,0,0,0,0,0,0,0
64,2^10 \times 2^10 = 2^20 \\ 36 \times 2^20 \div 9 \times 2^20 = { 36 \times 2^20 }/{ 9 \times 2^20 } = 4초,1,1,1,0,0,1,0,0,0,0
65,,0,0,0,0,0,0,0,0,0,0
66,9 \times 2^20 = ,0,0,0,0,0,0,0,0,0,0
67,,0,0,0,0,0,0,0,0,0,0
68,2^10KB,0,0,0,0,0,0,0,0,0,0
69,,0,0,0,0,0,0,0,0,0,0
70,20초,0,0,0,0,0,0,0,0,0,0
71,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB \\ 9 \times 2^20B,0,0,0,0,0,0,0,0,0,0
72,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB = 36 \times 2^10KB \\ 1초당 9 \times 2^20B \\ { 9 \times 2^20B }x =  1초당 9 \times 2^20B? \\ 1MB = 2^10KB \\ 1KB = 2^10B \\ 36MB = 36 \times 2^20KB \\ 4초,1,1,1,0,0,1,0,0,0,0
73,"저장 매체의 용량을 나타내는 단위로 B, KB, MB 등이 있고, KB = 2^10B, 1MB = 2^10KB이다. 찬혁이가 컴퓨터로 용량이 36MB인 자료를 내려 받으려고 한다. 이 컴퓨터에서 1초당 내려받는 자료의 용량이 9 \times 2^20B일 때, 찬혁이가 자료를 모두 내려받는 데 몇 초가 걸리는지 구하시오",0,0,0,0,0,0,0,0,0,0
74,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB = { 36 \times 2^10 }KB  {36 \times 2^10 }KB = {36 \times 2^20 }B \\ 36MB = 36 \times 2^20B \\ 초속 9 \times 2^20B \\ { 36 \times 2^20 } \div {9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
75,1MB = 2^20B \\ 2^20B \times 36 = 2^22 \times 9B \\ 2^22 \times 9B \div { 9 \times 2^20B } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
76,2^2 \times 3^2  답 = 18초,0,0,0,0,0,0,0,0,0,0
77,36MB = { 2^10 \times 2^10 \times 36 }B = { 2^20 \times 36 }B \\ 36 = 2^2 \times 3^2 이므로 36MB = { 2^22 \times 3^2 }B \\ 1초당 9 \times 2^20B를 다운 받으므로 { 2^22 \times 3^2 }/{ 9 \times 2^20 }을 계산하면 2^2초 즉 4초가 걸림  4초,1,1,1,0,0,1,0,0,0,0
78,36MB = 2^2 \times 3^2MB,0,0,0,0,0,0,0,0,0,0
79,36MB= 2^2 \times 3^2MB = 2^12 \times 3^2KB = 2^22 \times 3^2B \\ 1초당 2^20 \times 3^2B \\ { 2^22 \times3^2 } /div { 2^20 \times 3^2 } = 2^2  답 = 4초,1,1,1,0,0,1,0,0,0,0
80,2^10B = 1KB \\ 1MB = 2^10KB \\ 36MB를 받으려면 1초에 9 \times 2^20B씩 내려 받아지면 1KB = 2^10B \\ 1MB = 2^10KB \\ 2^10 \times 2^10 = 2^20 \\ 9 \times2^10 \\ MB = 2^20B \\ 36 \div 9 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
81,1KB = 2^10B \\ 1MB = 2^10KB \\ 2^10B \times 2^10KB = 2^20KB \div 9 \times2^20B^2 \\ {2^20 KB^2 }/{ 9 \times 2^20B } = 9KB,0,0,0,0,0,0,0,0,1,1
82,36MB = 36 \times 2^10KB \\ 36 \times 2^10KB = 36 \times 2^10 \times 2^10B \\ 36 \times 2^10 \times 2^10B = 2^22 3^2B \\ 2^22 3^2B \div 9 \times 2^20B = 2^2 \\ 2^2 = 4,1,1,1,0,0,1,0,0,0,1
83,360초,0,0,0,0,0,0,0,0,0,0
84,36MB = 2^10 \times 36 = 2^10 \times 2^2 \times 3^2 = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^10 \\ 2^22 \times 3^2 \\ 3초,0,0,0,0,0,0,0,0,0,0
85,1KB = 2^10B \\ 1MB = 2KB \\ 36 \times 2^10 = 2^2 \times 3^2 \times 2^10 = 3^2 \times 2^12 \\ 3^2 \times 2^12 \times 2^10 = 3^2 \times 2^22 \\ 자료 = 3^2 \times 2^22B \\ 1초당 내려받는 용량 = 3^2 \times 2^20B \\ { 3^2 \times 2^22 } \div { 3^2 \times 2^20 } = 2^2 \\ 답 = 4초,1,1,1,0,0,1,0,0,0,1
86,,0,0,0,0,0,0,0,0,0,0
87,36MB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^12 \times 3^2 \times 2^10B = 2^22 \times 3^2B \\ { 2^22 \times 3^2B } \div { 9 \times 2^20B } = { 2^22 \times 3^2B }/{ 3^2 \times 2^20B } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
88,36MB = 36 \times 2^10KB \\ { 36 \times 2^10 } \times 2^10 = 36 \times 2^20B \\ { 36 \times 2^20 }/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
89,9 \times 2^20B,0,0,0,0,0,0,0,0,0,0
90,9 \times 2^20 = 3^2 \times 2^20 \\ 36 = 3^2 \times 2^2MB = 3^2 \times 2^20B \\ { 3^2 \times 2^22 }/{ 3^2 \times 2^20 } = 2^2 \\ 4,1,1,1,0,0,1,0,0,0,0
91,9 \times 2^20B = 9 \times2KB = 18KB = 1초당 내려받는 용량,0,0,0,0,0,0,0,0,0,0
92,2^2 \times 2^2MB \\ 4^12 \times 6^12 \\ 8^22 \times 6^22,0,0,0,0,0,0,0,0,0,0
93,1KB = 2^10B \\ 1MB = 2^10KB \\ 1초 = 3^2 \times2^20 \\ 36MB = 2^2 \times 3^2MB,0,0,0,0,0,0,0,0,0,0
94,36MB = 2^2 \times 3^2 \times 2^10KB = 2^2 \times 3^2 \times 2^20B \\ 36MB = 2^22 \times 3^2B \\ 2^22 \times 3^2B \div 9 \times 2^20B = 2^22 \times 3^2 \times B \times 1/{ 3^2 \times2^20 \times B } = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0
96,{ 2^2 \times 3^2 \times 2^10 }KB = { 2^12 \times 3^2 }KB = { 2^12 \times 3^2 } \times 2^10B = { 2^22 \times 3^2 }B,1,0,0,0,0,0,0,0,0,0
97,,0,0,0,0,0,0,0,0,0,0
98,9 \times 2^20 \div 2^10 = 9 \times 2^10 \\ KB전환 \\ 9 \times 2^10 \div 2^10 = 9 \\ MB전환 \\ 1초에 9MB \\ 36 \div 9 = 4 \\ 4초,0,0,0,1,1,1,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0
100,1MB = 2^20B \\ 6^2 \times 2^20B \\ 2^22 \times 3^2 \div { 3^2 \times2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,1,0,0
101,36MB = 36 \times 2^10KB \\ 9 \times 2^20KB \times 4 = 36MB \\ 4초,0,0,0,0,0,1,0,0,1,0
102,36MB = 36 \times 2^10KB = 36 \times 2^10 \times 2^10B = 36 \times 2^20B \\ { 36 \times 2^20 }/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
103,1,0,0,0,0,0,0,0,0,0,0
104,36 = 2^2 \times 3^2 \\ 2^2 \times 3^2 \times 2^10KB = { \left (2^10 \right )^10 \times 2^2 \times 3^2 }B = { 2^100B \times 2^2 \times 3^2 }B = { 2^102 \times 3^2 }B \\ 2^102 \times 3^2 \times 1/{ 2^20 \times 3^2 } = 2^82초 ,0,0,0,0,0,0,0,0,1,0
105,1MB = 2^10KB \\ 36MB = 3^2 \times 2^12KB \\ 1KB = 2^10B \\ 2^12 \times 3^2KB = 2^22 \times 3^2B \\ 2^22 \times 3^2 \div { 9 \times 2^20 } = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
106,1KB = 2B \\ 1MB = 2KB \\ 2009 \times2^20B = 18KB \\ 1800,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0
108,4초,0,0,0,0,0,1,0,0,0,0
109,36MB = 2^2 \times 3^2 \times 2^10 \times 2^10 = { 9 \times 2^22 }/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,1,0,0,0
110,2^20B = 2^10KB \\ 9 \times 2^20B = 9 \times 1MB \\ 36 \times 1/9 = 4 \\ 4초,0,0,0,1,1,1,0,0,0,0
111,시간 = 찬혁이가 내려 받으려는 자료의 용량/1초당 내려받는 자료의 용량 \\ 36MB = 2^10 \times 36KB = 2^10 \times 2^10 \times 36B = 2^10 \times 2^10 \times 2^2 \times 3^2B = 2^22 \times 3^2B \\ 시간 = { 2^22 \times 3^2 }/{ 9 \times 2^20 } = { 2^22 \times 3^2 }/{ 3^2 \times 2^20 } = 2^2 = 4초,1,1,1,0,0,1,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0
113,4초,0,0,0,0,0,1,0,0,0,0
114,,0,0,0,0,0,0,0,0,0,0
115,1KB = 2^10B \\ 1MB = 2^10KB = 2^20B \\ 36MB를 내려받았다. 36MB를 B로 고치면 36 \times 2^20B = 2^2 \times 3^2 \times 2^20B = 2^22 \times 3^2B \\ 1초당 3^2 \times 2^20B이기에,1,0,1,0,0,0,0,0,0,0
116,2^20 = B \\ MB \\ 1 \times 2^20 = 9초,0,0,0,0,0,0,0,0,0,0
117,,0,0,0,0,0,0,0,0,0,0
118,2^10 \times 2^2 \times 3^2 KB = 2^12 \times 3^2,0,0,0,0,0,0,0,0,0,0
119,2^10 \times 2^10 \\ 2^20 \times 2^2 \times 3^2 = 2^22 \times 3^2 \\ 2^22 \times 3^2 \times 3^2 \times 2^20 \\ 2^42 \times 3^4,1,0,0,0,0,0,0,0,0,0
120,9 \times 2 = 18 \\ 18초,0,0,0,0,0,0,0,0,0,0
121,36MB = 36 \times 2^20 \\ 36 \times 2^20 \div 9 \times 2^20 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
122,9 \times 2^20B = 9 \times 2^10KB = 9MB \\ 36MB \div 9MB = 4 \\ 4초,0,0,0,1,1,1,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0
124,2^10 \times 36 \times 2^10 = 2^20 \times 2^2 \times 3^2 = 2^22 \times 3^2B \\ { 2^22 \times 3^2 } \div { 2^20 \times 3^2 } = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
125,1KB = 2^10B \\ 1MB = 2^10KB = 2^10 \times 2^10B = 2^20B \\ 36MB = 2^2 \times 3^2MB = 2^2 \times 2^10 \times 3^2B  따라서 { 2^20 \times 3^2 }/{ 2^20 \times 3^2 } = 1 이다.  답 = 1초,0,0,1,0,0,0,0,0,0,0
126,36MB = { 2^2 \times 3^2 }MB \\ {2^2 \times 3^2 } \times 2^10 \times 2^10 = 2^22 \times 3^2 \\ 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
127,36 \times 2^10KB \\ 36 \times 2^20B \\ 9 \times 2^20B \\ 답 = 4초,1,1,1,0,0,1,0,0,0,0
128,,0,0,0,0,0,0,0,0,0,0
129,36MB = 2^2 \times 3^2MB \\ 1MB = 2^20B \\ 4초,1,1,1,0,0,1,0,0,0,0
130,2^20B = 1MB \\ 36 \div 9 = 4 \\ 4초,0,0,0,1,1,1,0,0,0,0
131,4초,0,0,0,0,0,1,0,0,0,0
132,36MB = { 2^10 \times 36 }KB \\ {2^10 \times 36 }KB = { 2^10 \times 2^10 \times 36 }B = 2^20 \times 2^2 \times 3^2 = 2^22 \times 3^2 \\ 1초당 9 \times 2^20 \\ 걸리는 시간 = { 9 \times 2^22 }/{ 9 \times 2^20 } = 4초,1,1,1,0,0,1,0,0,0,0
133,1/2^8 초,0,0,0,0,0,0,0,0,0,0
134,1초 \\ 9 \times 2^20 \\ 3^2 \times 2,0,0,0,0,0,0,0,0,0,0
135,36MB = 36 \times 2^10KB = 36 \times 2^20B \\ { 36 \times 2^20 } \div { 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
136,,0,0,0,0,0,0,0,0,0,0
137,2^2 \times 3^2 \\ 2^2 \times 3^2 \times 2^10 = 2^12 \times 3^2 \\ 4초,0,0,0,0,0,1,0,0,0,0
138,1KB  2^10B \\ 1MB  2^10KB \\ 찬혁이: 36MB 씀 2^2 \times 3^2MB \\ 1초: 9 \times 2^20B \\ 4초,0,0,0,0,0,1,0,0,0,0
139,1MB = 2^10KB = 2^10(2^10B) = 2^20B \\ 9 \times 2^20B = 9MB \\ 36 \div 9 = 4초,0,0,0,1,1,1,0,0,0,0
140,36MB = 36 \times 2^10 \times 2^10B = 36 \times 2^20B \\ 1초당 내려받는 자료의 용량 = 9 \times 2^20 \\ {36 \times 2^20 }/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
141,14초,0,0,0,0,0,0,0,0,0,0
142,36MB = 36 \times 2^10 \times 2^10 = 3^2 \times 2^22B = 3^2 \times 2^20 \times 4 = 4초,1,1,1,0,0,1,1,0,0,0
143,,0,0,0,0,0,0,0,0,0,0
144,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB \\ 3^2 \times 2^20 = 5초,0,0,0,0,0,0,0,0,0,0
145,2^10 \times 36 \times 2^10 \\ { 2^20 \times 36 } \div { 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
146,\left (2^10 \right )^36 \\ 10초,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0
148,,0,0,0,0,0,0,0,0,0,0
149,2^20MB = 2^10KB = 1MB \\ 9 \times 1MB \\ 4초,0,0,0,0,0,1,0,0,1,0
150,,0,0,0,0,0,0,0,0,0,0
151,37초 \\ 3^2 \times 2^20B \\ 2^10 \times 2^2 \times 3^2 \\ 2^12 \times 3^2KB,0,0,0,0,0,0,0,0,0,0
152,36MB = 2^10 \times 36KB = 2^20 \times 36B \\ { 2^22 \times 3^2 }/{ 9 \times 2^20 } = 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
153,36MB = 2^10 \times 36KB = 2^20 \times 36B \\ 2^20 \times 9 \times 4(초) = 2^20 \times 36 \\ 4초,1,1,1,0,0,1,0,0,0,0
154,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB \\ 1초당 3^2 \times 2^20B \\ 1MB = 2^10 \times 2^10B = 2^20B \\ 2^2 \times 3^2 \times 2^20 = 2^22 \times 3^2 \\ 36MB = 2^2 \times 3^2 \\ 2^2 \times 3^2 \times 2^20(B) \div 3^2 \times 2^20 = 2^2 \\ 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
155,36MB = 36 \times 2^10KB \\ 36 \times 2^10KB = 36 \times 2^20B \\ 9 \times 2^20 \times A = 36 \times 2^20  A = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
156,4초,0,0,0,0,0,1,0,0,0,0
157,36 \times 2^10KB \\ 36 \times 2^10 \times 2^10 B \\ 36 \times 2^20B \\ 36 \times2^20 \times 1/{ 9 \times 2^20 } = 4 \\ 4초 ,1,1,1,0,0,1,0,0,0,0
158,36MB = 36 \times 2^10KB \\ 36 \times 2^10KB = 36 \times 2^10 \times 2^10B \\ { 36 \times 2^20 }/{ 9 \times 2^20 } = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
159,1KB = 2^10B \\ 1MB = 2^10KB \\ 36MB = 2^20 \times 2^2 \times 3^2B = { 2^22 \times 3^2 }B \\ { 2^22 \times 3^2 }B = x \times 2^20 \times 3^2B \\ 2초,1,0,1,0,0,0,0,0,0,0
160,,0,0,0,0,0,0,0,0,0,0
161,36MB = 2^10 \times 3^2 \times 2^2KB = 2^12 \times 3^2 \times 2^10B = 2^22 \times 3^2 \\ { 2^22 \times 3^2 }/{ 9 \times 2^20 } = 2^2 = 4(초),1,1,1,0,0,1,0,0,0,0
162,1KB = 2^10B \\ 1MB = 2^10KB \\ 1초당 내려 받는 자료의 용량 = 9 \times 2^20B \\ 36MB = 2^2 \times 3^2 \times 2^10KB = 2^12 \times 9B \\ { 9 \times 2^12 }/{ 9 \times 2^20 } = 1/2^8 = 1/256초,0,1,1,0,0,0,0,0,0,0
163,1KB = 2^10B \\ 1MB = 2^10KB = 2^20B \\ 36MB = 2^22 \times 3^2B \\ { 2^22 \times 3^2 }/{ 2^20 \times 3^2 } = 2^2 = 4 \\ 4초,1,1,1,0,0,1,0,0,0,0
164,9 \times 2^20 = 36KB \\ 2^10초,0,0,0,0,0,0,0,0,0,0
165,,0,0,0,0,0,0,0,0,0,0
166,36MB = 36 \times 2^10KB = 2^12 \times 3^2KB \\ 2^12 \times 3^2KB = 2^12 \times 3^2 \times 2^10B = 2^22 \times 3^2B = 9 \times 2^20 \times 2^2 \\ 4초,1,1,1,0,0,1,0,0,0,0
167,32초,0,0,0,0,0,0,0,0,0,0
168,,0,0,0,0,0,0,0,0,0,0
169,1KB = 2^10B \\ 1MB = 2^10KB \\ 3^2 \times 2^20 \times 2^10 \times 2^2 \times 3^2 = 2^32 \times 3^4 \\ 2^32 \times 3^4,0,0,0,0,0,0,0,0,0,0
170,4초,0,0,0,0,0,1,0,0,0,0
171,4초,0,0,0,0,0,1,0,0,0,0
