학생,답안,등식의 성질,(다항식)x(단항식),단항식의 곱셈,(다항식)÷(단항식),단항식의 나눗셈,정오답,등호 오류
86,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
87,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
88,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y= 4x^{2}y + 2xy + 6 \\ 2A/3y = 4x^{2}y + 2xy + 6 \\ 2A= 12x^{2}y^{2} + 6xy^{2} + 18 \\ A= 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
89,,,,,,,,
90,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 3/y,0,1,1,0,0,0,0
91,,,,,,,,
92,A \div 3y/2 = 4x^{2}y + 2xy + 6,0,0,0,0,0,0,0
93,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 3/y,1,1,1,0,0,0,0
94,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 3x^{2}y^{2} + 3xy^{2} + 9y,0,0,0,0,0,0,0
95,,,,,,,,
96,A = ( 4x^{2}y + 2xy + 6 ) 3y/2 \\ 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
97,6x^{2}y^{2} + 3xy^{2} + 6y,0,0,1,0,0,0,0
98,A \div 3y/2 = A \times 2/3y \\ 2A/3y = 4x^{2}y + 2xy + 6 \\ 2A = 12x^{2}y^{2} + 6xy^{2} + 18y \\ 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
99,,,,,,,,
100, A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
101, A \times 2/3y A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
102,A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
103,8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
104,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y \\ A = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
105,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
111,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
112,,,,,,,,
113,A =3y/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
114,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
115,A \times 2y/3 = 4x^{2}y + 2xy + 6 \\ ( 4x^{2}y + 2xy + 6 ) \times 3/2y A = 6x^{2} + 3x + 9/y,0,1,1,0,0,0,0
116,( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
117,,,,,,,,
118,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
119,( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
120,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 4x^{2}y + 2xy + 6  \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
121,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
122,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,1,0,0,0,0
123,,,,,,,,
124,A \div 3y/2 = 4x^{2}y + 2xy + 6 = ( 4x^{2}y + 2xy + 6 ) 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,0
125,A \times 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3/2y= 6x^{2} + 3 + 9/y,1,1,1,0,0,0,0
126,A = ( 4x^{2}y + 2xy + 6 ) \times 2/3y = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
127,\times 3y/2 6x^{2}y^{2} + 3y^{2} + 9y,1,1,1,0,0,1,0
128,,,,,,,,
129,A \times 2/3y = 4x^{2}y + 2xy + 6 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,1
130,9x^{2}y^{2} - 3xy^{2} + 9y,0,0,1,0,0,0,0
131,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
132,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 3y/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
133,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
134,6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
135,A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
136,24x^{6}/3y,0,0,0,0,0,0,0
137,4x^{2}y \times 3y/2 = 6x^{2}y^{2} \\ 2xy \times 3y/2 = 2xy^{2} \\ 6 \times 3y/2 = 9y \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
138,4x^{2}y + 2xy + 6 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
139,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
140,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
141,A = ( 4x^{2}y + 2xy + 6 \times 2 ) \div 3y = ( 8x^{2}y + 4xy + 12 ) \div 3y = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
142,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 3y/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
143,,,,,,,,
144,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 4x^{2}y + 2xy + 6 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
145,,,,,,,,
146,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
147,,,,,,,,
148,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
149,A \times 2/3y,0,0,0,0,0,0,0
150,( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
151,몰라요,0,0,0,0,0,0,0
152,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
153,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
154,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 2/3y ( 4x^{2}y + 2xy + 6 ) \\ A = 8x^{2}y/3y + 4xy/y3 + 12/3y = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
155,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 3y/2 ( 4x^{2}y + 2xy + 6 ) \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
156, 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
157,A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
158,A \div 3y/2 = A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
159,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,0,1,1,1,0
160,,,,,,,,
161,A \times 2/3y = ( 4x^{2}y + 2xy + 6 ) 3y/2 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,1
162,A \div 3y/2 = 4x^{2}y + 2xy + 6 =  A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = A = 6x^{2}y^{2} + 3xy^{2} + 9y,0,1,1,0,0,1,1
163,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
164,A \times 2y/3 = 4x^{2}y + 2xy + 6 \\ A = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,1,1
165,8x^{2}y^{2}/3 + 4xy^{2}/3 + 4/y,0,0,0,0,0,0,0
166,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
167,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = ( 4x^{2}y + 2xy + 6 ) \\ A 3y/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
168,,,,,,,,
169,A \div 3xy/2 = 4x^{2}y + 2xy + 6 \\ A = 3xy/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{3}y^{2} + 3x^{2}y^{2} + 9xy,1,1,1,0,0,0,0
170,4x^{2}y + 2xy + 6 \times 2/3y = 4x^{2}/3 + 2x/3 + 4/y,0,0,1,0,0,0,0
171,A \times 2/3y 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
172,( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
173,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
174,4x^{2}y + 2xy + 6 \\ A \times 2y/3 24x^{2} + 12x + 9y,0,0,0,0,0,0,0
175,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,0,0,1,1,1,0
176,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
177,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A \times 2/3y = 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
178,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = ( 4x^{2}y \times 3y/2 ) + ( 2xy \times 3y/2 ) + ( 6 \times 3y/2 )= 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
179,,,,,,,,
180,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
181,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
182,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A =3y/2 ( 4x^{2}y + 2xy + 6 ) = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
183,,,,,,,,
184,A = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
185,A = 3y/2 \times 4x^{2}y + 2xy \times 3y/2 + 6 \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
186,A \div 3y/2 = 4x^{2}y + 2xy + 6 = ( 4x^{2}y + 2xy + 6 ) \times 2y/3= 4x^{2}y^{2} + 2xy + 4y,0,0,1,0,0,0,1
187,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
188,,,,,,,,
189,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
190,A \times 2/3y= 4x^{2}y + 2xy + 6,0,0,0,0,0,0,0
191,A \times 2/3y= 4x^{2}y + 2xy + 6 \\ A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
192,A \div 3y/2 = 4x^{2}y + 2xy + 6 \\ A = 2/3y ( 4x^{2}y + 2xy + 6 ) 8x^{2}/3 + 4x/3 + 4/y,0,1,1,0,0,0,0
193,( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
194,,,,,,,,
195,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
196,A = ( 4x^{2}y + 2xy + 6 ) \times 3y/2 = 6x^{2}y^{2} + 3xy^{2} + 9y,1,1,1,0,0,1,0
